---,LevelPath,homeLevel,DisplayName,bossLevel,flightLevel,excludeFromGameProgressionCompletion,excludeFromGameProgressionCompletionScalar,progressionMap
/LS301_SunriseSpring_Home/Maps/,/LS301_SunriseSpring_Home/Maps/,None,Sunrise Spring,False,False,False,0.0,
/LS302_SunnyVilla/Maps/,/LS302_SunnyVilla/Maps/,/LS301_SunriseSpring_Home/Maps/,Sunny Villa,False,False,False,0.0,
/LS303_CloudSpires/Maps/,/LS303_CloudSpires/Maps/,/LS301_SunriseSpring_Home/Maps/,Cloud Spires,False,False,False,0.0,
/LS304_MoltenCrater/Maps/,/LS304_MoltenCrater/Maps/,/LS301_SunriseSpring_Home/Maps/,Molten Crater,False,False,False,0.0,
/LS305_SeashellShore/Maps/,/LS305_SeashellShore/Maps/,/LS301_SunriseSpring_Home/Maps/,Seashell Shore,False,False,False,0.0,
/LS306_SheilasAlp/Maps/,/LS306_SheilasAlp/Maps/,/LS301_SunriseSpring_Home/Maps/,Sheila's Alp,False,False,False,0.0,
/LS307_MushroomSpeedway/Maps/,/LS307_MushroomSpeedway/Maps/,/LS301_SunriseSpring_Home/Maps/,Mushroom Speedway,False,True,False,0.0,
/LS308_BuzzsDungeon/Maps/,/LS308_BuzzsDungeon/Maps/,/LS301_SunriseSpring_Home/Maps/,Buzz's Dungeon,False,False,False,0.0,
/LS309_CrawdadFarm/Maps/,/LS309_CrawdadFarm/Maps/,/LS301_SunriseSpring_Home/Maps/,Crawdad Farm,False,False,False,0.0,
/LS310_MiddayGardens_Home/Maps/,/LS310_MiddayGardens_Home/Maps/,None,Midday Gardens,False,False,False,0.0,
/LS311_IcyPeak/Maps/,/LS311_IcyPeak/Maps/,/LS310_MiddayGardens_Home/Maps/,Icy Peak,False,False,False,0.0,
/LS312_EnchantedTowers/Maps/,/LS312_EnchantedTowers/Maps/,/LS310_MiddayGardens_Home/Maps/,Enchanted Towers,False,False,False,0.0,
/LS313_SpookySwamp/Maps/,/LS313_SpookySwamp/Maps/,/LS310_MiddayGardens_Home/Maps/,Spooky Swamp,False,False,False,0.0,
/LS314_BambooTerrace/Maps/,/LS314_BambooTerrace/Maps/,/LS310_MiddayGardens_Home/Maps/,Bamboo Terrace,False,False,False,0.0,
/LS315_SgtByrdBase/Maps/,/LS315_SgtByrdBase/Maps/,/LS310_MiddayGardens_Home/Maps/,Sgt. Byrd Base,False,False,False,0.0,
/LS316_CountrySpeedway/Maps/,/LS316_CountrySpeedway/Maps/,/LS310_MiddayGardens_Home/Maps/,Country Speedway,False,True,False,0.0,
/LS317_SpikesArena/Maps/,/LS317_SpikesArena/Maps/,/LS310_MiddayGardens_Home/Maps/,Spike's Arena,False,False,False,0.0,
/LS318_SpiderTown/Maps/,/LS318_SpiderTown/Maps/,/LS310_MiddayGardens_Home/Maps/,Spider Town,False,False,False,0.0,
/LS319_EveningLake_Home/Maps/,/LS319_EveningLake_Home/Maps/,None,Evening Lake,False,False,False,0.0,
/LS320_LostFleet/Maps/,/LS320_LostFleet/Maps/,/LS319_EveningLake_Home/Maps/,Lost Fleet,False,False,False,0.0,
/LS321_FrozenAltars/Maps/,/LS321_FrozenAltars/Maps/,/LS319_EveningLake_Home/Maps/,Frozen Altars,False,False,False,0.0,
/LS322_FireworksFactory/Maps/,/LS322_FireworksFactory/Maps/,/LS319_EveningLake_Home/Maps/,Fireworks Factory,False,False,False,0.0,
/LS323_CharmedRidge/Maps/,/LS323_CharmedRidge/Maps/,/LS319_EveningLake_Home/Maps/,Charmed Ridge,False,False,False,0.0,
/LS324_BentleysOutpost/Maps/,/LS324_BentleysOutpost/Maps/,/LS319_EveningLake_Home/Maps/,Bentley's Outpost,False,False,False,0.0,
/LS325_HoneySpeedway/Maps/,/LS325_HoneySpeedway/Maps/,/LS319_EveningLake_Home/Maps/,Honey Speedway,False,True,False,0.0,
/LS326_ScorchsPit/Maps/,/LS326_ScorchsPit/Maps/,/LS319_EveningLake_Home/Maps/,Scorch's Pit,False,False,False,0.0,
/LS327_StarfishReef/Maps/,/LS327_StarfishReef/Maps/,/LS319_EveningLake_Home/Maps/,Starfish Reef,False,False,False,0.0,
/LS328_MidnightMountain_Home/Maps/,/LS328_MidnightMountain_Home/Maps/,None,Midnight Mountain,False,False,False,0.0,
/LS329_CrystalIslands/Maps/,/LS329_CrystalIslands/Maps/,/LS328_MidnightMountain_Home/Maps/,Crystal Islands,False,False,False,0.0,
/LS330_DesertRuins/Maps/,/LS330_DesertRuins/Maps/,/LS328_MidnightMountain_Home/Maps/,Desert Ruins,False,False,False,0.0,
/LS331_HauntedTomb/Maps/,/LS331_HauntedTomb/Maps/,/LS328_MidnightMountain_Home/Maps/,Haunted Tomb,False,False,False,0.0,
/LS332_DinoMines/Maps/,/LS332_DinoMines/Maps/,/LS328_MidnightMountain_Home/Maps/,Dino Mines,False,False,False,0.0,
/LS333_Agent9sLab/Maps/,/LS333_Agent9sLab/Maps/,/LS328_MidnightMountain_Home/Maps/,Agent 9's Lab,False,False,False,0.0,
/LS334_HarborSpeedway/Maps/,/LS334_HarborSpeedway/Maps/,/LS328_MidnightMountain_Home/Maps/,Harbor Speedway,False,True,False,0.0,
/LS335_SorceressLair/Maps/,/LS335_SorceressLair/Maps/,/LS328_MidnightMountain_Home/Maps/,Sorceress Lair,False,False,False,0.0,
/LS336_BugbotFactory/Maps/,/LS336_BugbotFactory/Maps/,/LS328_MidnightMountain_Home/Maps/,Bugbot Factory,False,False,False,0.0,
