---,levelpath,homelevel,displayName
/LS201_SummerForest_Home/Maps/,/LS201_SummerForest_Home/Maps/,None,Summer Forest
/LS202_Glimmer/Maps/,/LS202_Glimmer/Maps/,/LS201_SummerForest_Home/Maps/,Glimmer
/LS203_IdolSprings/Maps/,/LS203_IdolSprings/Maps/,/LS201_SummerForest_Home/Maps/,Idol Springs
/LS204_Colossus/Maps/,/LS204_Colossus/Maps/,/LS201_SummerForest_Home/Maps/,Colossus
/LS205_Hurricos/Maps/,/LS205_Hurricos/Maps/,/LS201_SummerForest_Home/Maps/,Hurricos
/LS206_SunnyBeach/Maps/,/LS206_SunnyBeach/Maps/,/LS201_SummerForest_Home/Maps/,Sunny Beach
/LS207_AquariaTowers/Maps/,/LS207_AquariaTowers/Maps/,/LS201_SummerForest_Home/Maps/,Aquaria Towers
/LS208_CrushsDungeon/Maps/,/LS208_CrushsDungeon/Maps/,/LS201_SummerForest_Home/Maps/,Crush's Dungeon
/LS209_OceanSpeedway/Maps/,/LS209_OceanSpeedway/Maps/,/LS201_SummerForest_Home/Maps/,Ocean Speedway
/LS210_AutumnPlains_Home/Maps/,/LS210_AutumnPlains_Home/Maps/,None,Autumn Plains
/LS211_CrystalGlacier/Maps/,/LS211_CrystalGlacier/Maps/,/LS210_AutumnPlains_Home/Maps/,Crystal Glacier
/LS212_SkelosBadlands/Maps/,/LS212_SkelosBadlands/Maps/,/LS210_AutumnPlains_Home/Maps/,Skelos Badlands
/LS213_Zephyr/Maps/,/LS213_Zephyr/Maps/,/LS210_AutumnPlains_Home/Maps/,Zephyr
/LS214_BreezeHarbor/Maps/,/LS214_BreezeHarbor/Maps/,/LS210_AutumnPlains_Home/Maps/,Breeze Harbor
/LS215_Scorch/Maps/,/LS215_Scorch/Maps/,/LS210_AutumnPlains_Home/Maps/,Scorch
/LS216_FractureHills/Maps/,/LS216_FractureHills/Maps/,/LS210_AutumnPlains_Home/Maps/,Fracture Hills
/LS217_MagmaCone/Maps/,/LS217_MagmaCone/Maps/,/LS210_AutumnPlains_Home/Maps/,Magma Cone
/LS218_ShadyOasis/Maps/,/LS218_ShadyOasis/Maps/,/LS210_AutumnPlains_Home/Maps/,Shady Oasis
/LS219_GulpsOverlook/Maps/,/LS219_GulpsOverlook/Maps/,/LS210_AutumnPlains_Home/Maps/,Gulp's Overlook
/LS220_IcySpeedway/Maps/,/LS220_IcySpeedway/Maps/,/LS210_AutumnPlains_Home/Maps/,Icy Speedway
/LS221_MetroSpeedway/Maps/,/LS221_MetroSpeedway/Maps/,/LS210_AutumnPlains_Home/Maps/,Metro Speedway
/LS222_WinterTundra_Home/Maps/,/LS222_WinterTundra_Home/Maps/,None,Winter Tundra
/LS223_MysticMarsh/Maps/,/LS223_MysticMarsh/Maps/,/LS222_WinterTundra_Home/Maps/,Mystic Marsh
/LS224_CloudTemples/Maps/,/LS224_CloudTemples/Maps/,/LS222_WinterTundra_Home/Maps/,Cloud Temples
/LS225_Metropolis/Maps/,/LS225_Metropolis/Maps/,/LS222_WinterTundra_Home/Maps/,Metropolis
/LS226_RoboticaFarms/Maps/,/LS226_RoboticaFarms/Maps/,/LS222_WinterTundra_Home/Maps/,Robotica Farms
/LS227_RiptosArena/Maps/,/LS227_RiptosArena/Maps/,/LS222_WinterTundra_Home/Maps/,Ripto's Arena
/LS228_CanyonSpeedway/Maps/,/LS228_CanyonSpeedway/Maps/,/LS222_WinterTundra_Home/Maps/,Canyon Speedway
/LS229_DragonShores/Maps/,/LS229_DragonShores/Maps/,/LS222_WinterTundra_Home/Maps/,Dragon Shores
