---,LevelPath,homeLevel,DisplayName,bossLevel,flightLevel,excludeFromGameProgressionCompletion,excludeFromGameProgressionCompletionScalar,progressionMap
/LS201_SummerForest_Home/Maps/,/LS201_SummerForest_Home/Maps/,None,Summer Forest,False,False,False,0.0,
/LS202_Glimmer/Maps/,/LS202_Glimmer/Maps/,/LS201_SummerForest_Home/Maps/,Glimmer,False,False,False,0.0,
/LS203_IdolSprings/Maps/,/LS203_IdolSprings/Maps/,/LS201_SummerForest_Home/Maps/,Idol Springs,False,False,False,0.0,
/LS204_Colossus/Maps/,/LS204_Colossus/Maps/,/LS201_SummerForest_Home/Maps/,Colossus,False,False,False,0.0,
/LS205_Hurricos/Maps/,/LS205_Hurricos/Maps/,/LS201_SummerForest_Home/Maps/,Hurricos,False,False,False,0.0,
/LS206_SunnyBeach/Maps/,/LS206_SunnyBeach/Maps/,/LS201_SummerForest_Home/Maps/,Sunny Beach,False,False,False,0.0,
/LS207_AquariaTowers/Maps/,/LS207_AquariaTowers/Maps/,/LS201_SummerForest_Home/Maps/,Aquaria Towers,False,False,False,0.0,
/LS208_CrushsDungeon/Maps/,/LS208_CrushsDungeon/Maps/,/LS201_SummerForest_Home/Maps/,Crush's Dungeon,True,False,False,0.0,
/LS209_OceanSpeedway/Maps/,/LS209_OceanSpeedway/Maps/,/LS201_SummerForest_Home/Maps/,Ocean Speedway,False,True,False,0.0,
/LS210_AutumnPlains_Home/Maps/,/LS210_AutumnPlains_Home/Maps/,None,Autumn Plains,False,False,False,0.0,
/LS211_CrystalGlacier/Maps/,/LS211_CrystalGlacier/Maps/,/LS210_AutumnPlains_Home/Maps/,Crystal Glacier,False,False,False,0.0,
/LS212_SkelosBadlands/Maps/,/LS212_SkelosBadlands/Maps/,/LS210_AutumnPlains_Home/Maps/,Skelos Badlands,False,False,False,0.0,
/LS213_Zephyr/Maps/,/LS213_Zephyr/Maps/,/LS210_AutumnPlains_Home/Maps/,Zephyr,False,False,False,0.0,
/LS214_BreezeHarbor/Maps/,/LS214_BreezeHarbor/Maps/,/LS210_AutumnPlains_Home/Maps/,Breeze Harbor,False,False,False,0.0,
/LS215_Scorch/Maps/,/LS215_Scorch/Maps/,/LS210_AutumnPlains_Home/Maps/,Scorch,False,False,False,0.0,
/LS216_FractureHills/Maps/,/LS216_FractureHills/Maps/,/LS210_AutumnPlains_Home/Maps/,Fracture Hills,False,False,False,0.0,
/LS217_MagmaCone/Maps/,/LS217_MagmaCone/Maps/,/LS210_AutumnPlains_Home/Maps/,Magma Cone,False,False,False,0.0,
/LS218_ShadyOasis/Maps/,/LS218_ShadyOasis/Maps/,/LS210_AutumnPlains_Home/Maps/,Shady Oasis,False,False,False,0.0,
/LS219_GulpsOverlook/Maps/,/LS219_GulpsOverlook/Maps/,/LS210_AutumnPlains_Home/Maps/,Gulp's Overlook,True,False,False,0.0,
/LS220_IcySpeedway/Maps/,/LS220_IcySpeedway/Maps/,/LS210_AutumnPlains_Home/Maps/,Icy Speedway,False,True,False,0.0,
/LS221_MetroSpeedway/Maps/,/LS221_MetroSpeedway/Maps/,/LS210_AutumnPlains_Home/Maps/,Metro Speedway,False,True,False,0.0,
/LS222_WinterTundra_Home/Maps/,/LS222_WinterTundra_Home/Maps/,None,Winter Tundra,False,False,False,0.0,
/LS223_MysticMarsh/Maps/,/LS223_MysticMarsh/Maps/,/LS222_WinterTundra_Home/Maps/,Mystic Marsh,False,False,False,0.0,
/LS224_CloudTemples/Maps/,/LS224_CloudTemples/Maps/,/LS222_WinterTundra_Home/Maps/,Cloud Temples,False,False,False,0.0,
/LS225_Metropolis/Maps/,/LS225_Metropolis/Maps/,/LS222_WinterTundra_Home/Maps/,Metropolis,False,False,False,0.0,
/LS226_RoboticaFarms/Maps/,/LS226_RoboticaFarms/Maps/,/LS222_WinterTundra_Home/Maps/,Robotica Farms,False,False,False,0.0,
/LS227_RiptosArena/Maps/,/LS227_RiptosArena/Maps/,/LS222_WinterTundra_Home/Maps/,Ripto's Arena,True,False,False,0.0,
/LS228_CanyonSpeedway/Maps/,/LS228_CanyonSpeedway/Maps/,/LS222_WinterTundra_Home/Maps/,Canyon Speedway,False,True,False,0.0,
/LS229_DragonShores/Maps/,/LS229_DragonShores/Maps/,/LS222_WinterTundra_Home/Maps/,Dragon Shores,False,False,True,0.0,
